acct_num,acct_create_dt,account_close_dt,first_name,last_name,address,city,state,zipcode,phone_number,created,modified
1,2008-10-23 16:05:05.0,\N,Donald,Becton,2275 Washburn Street,Oakland,CA,94660,5100032418,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
2,2008-11-12 03:00:01.0,\N,Donna,Jones,3885 Elliott Street,San Francisco,CA,94171,4150835799,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
3,2008-12-21 09:19:50.0,\N,Dorthy,Chalmers,4073 Whaley Lane,San Mateo,CA,94479,6506877757,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
4,2008-11-28 00:08:09.0,\N,Leila,Spencer,1447 Ross Street,San Mateo,CA,94444,6503198619,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
5,2008-11-15 23:06:06.0,\N,Anita,Laughlin,2767 Hill Street,Richmond,CA,94872,5107754354,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
6,2008-11-20 12:39:33.0,2014-03-01 07:37:48.0,Stevie,Bridge,3977 Linda Street,Sacramento,CA,94264,9162111862,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
7,2008-12-09 10:32:12.0,2010-10-16 10:01:51.0,David,Eggers,2109 Ross Street,Oakland,CA,94508,5103935529,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
8,2008-12-15 08:49:38.0,\N,Dorothy,Koopman,1985 Pratt Avenue,San Mateo,CA,94469,6502406661,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
9,2008-11-07 17:58:55.0,2014-02-14 01:26:52.0,Kara,Kohl,235 Fort Street,Palo Alto,CA,94312,6502384894,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
10,2008-12-02 23:28:01.0,\N,Diane,Nelson,921 Sardis Sta,Oakland,CA,94577,5102711264,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
11,2008-10-27 19:37:29.0,\N,Robert,Fisher,3710 Heliport Loop,Oakland,CA,94669,5109726353,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
12,2008-12-21 23:21:53.0,\N,Marcia,Roberts,3616 Augusta Park,Palo Alto,CA,94322,6505209743,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
13,2008-10-28 14:27:18.0,\N,Andres,Cruse,518 John Daniel Drive,San Francisco,CA,94143,4153335996,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
14,2008-11-29 18:25:38.0,\N,Ann,Moore,4984 Buena Vista Avenue,Sacramento,CA,94234,9163145431,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
15,2008-11-14 09:22:05.0,\N,Joseph,Lackey,3977 Snowbird Lane,Berkeley,CA,94726,5108428188,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
16,2008-12-03 23:48:22.0,2013-08-01 15:10:07.0,Sarah,Duvall,4875 Essex Court,San Francisco,CA,94056,4154969289,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
17,2008-12-27 23:31:40.0,\N,Lucy,Corley,4834 Brown Street,Santa Rosa,CA,94980,7076068290,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
18,2008-11-05 11:16:01.0,\N,Roland,Crawford,2951 Allison Avenue,Palo Alto,CA,94373,6506033983,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
19,2008-11-13 23:40:53.0,2014-02-26 18:44:26.0,Leona,Bray,364 Romrog Way,Santa Rosa,CA,94913,7070013038,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
20,2008-11-02 07:55:25.0,\N,Forrest,Becker,4211 Lightning Point Drive,Santa Rosa,CA,94902,7075831640,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
21,2008-11-30 20:08:09.0,\N,Michele,Bellows,4043 Poplar Street,San Mateo,CA,94487,6507846790,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
22,2008-11-14 14:32:30.0,\N,Brittany,Bowie,2962 Berkshire Circle,Oakland,CA,94543,5102858788,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
23,2008-11-11 16:10:22.0,\N,Emily,Alsup,31 Duffy Street,Santa Rosa,CA,94988,7075012743,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
24,2008-11-13 00:08:34.0,\N,Gwendolyn,Waters,4030 Leisure Lane,Sacramento,CA,94283,9164156733,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
25,2008-11-18 21:06:05.0,\N,Richard,Adams,593 Linden Avenue,Oakland,CA,94531,5106716204,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
